Attr06,Class
0,negative
0.25,positive
0.25,negative
1,negative
0.5,negative
1,negative
0,negative
1,negative
0,negative
0,negative
0,positive
0,negative
0,negative
0,positive
0.25,negative
0,negative
0.75,positive
1,positive
0,negative
1,positive
0,negative
0,positive
1,negative
0,positive
0,negative
1,positive
0.25,negative
0,negative
0,positive
0,negative
1,negative
0,negative
1,negative
0,positive
0,negative
0.25,negative
0.5,negative
1,positive
0,negative
0,negative
0.75,negative
0,negative
0,positive
0.75,negative
0,negative
0.25,positive
1,negative
0.75,negative
0.5,negative
1,negative
0,positive
0,positive
0,positive
1,negative
1,negative
0,negative
0.5,negative
0.25,negative
1,positive
0,negative
1,negative
1,negative
0,negative
0,negative
0,negative
1,negative
1,negative
0,positive
0,negative
1,negative
0,negative
0,positive
0,negative
0,negative
0,positive
0,positive
0,positive
0,negative
0.5,negative
0,negative
0,negative
0,positive
0,negative
0,negative
0,positive
0,negative
0,negative
0,negative
0,positive
0,positive
1,positive
1,negative
0.5,negative
0,positive
0,positive
1,negative
0,positive
0,positive
1,negative
0,negative
0,negative
0,negative
0,positive
0,negative
0,positive
0,negative
0,negative
1,negative
1,positive
0,negative
0,negative
0,positive
0,positive
1,negative
0,negative
0,positive
0,negative
0.25,negative
1,negative
0,negative
0,positive
0.25,negative
0.75,negative
0,positive
0,positive
0.75,negative
0,positive
0.5,negative
0,negative
0,negative
1,negative
0,negative
0.5,negative
0,negative
0.25,negative
1,negative
0,negative
0.75,negative
0,negative
0,negative
0,positive
1,negative
0,negative
1,negative
1,negative
0,negative
0,positive
0,positive
1,negative
0,positive
0,negative
1,negative
0,negative
0,negative
0,negative
0,negative
1,negative
1,negative
0,negative
0.75,negative
1,negative
0,positive
0,positive
1,negative
1,negative
1,negative
0,negative
0,negative
1,negative
1,negative
1,negative
0,negative
0,negative
0,positive
1,negative
0.75,negative
0,positive
0,positive
0.25,negative
0,positive
0.25,positive
0,positive
0,negative
0.5,negative
0,positive
0,negative
0,positive
0,positive
0,negative
0,positive
1,negative
0,negative
0,negative
0,positive
0,negative
0.5,negative
0,negative
0.25,positive
0,positive
0,negative
0,positive
1,negative
1,negative
0,negative
1,negative
0,negative
0,negative
0.5,positive
0.5,negative
1,negative
0,positive
0.25,positive
0,negative
0,positive
0.5,positive
0,positive
0,negative
0.75,negative
1,negative
0,negative
0,positive
0,negative
0.25,negative
0,negative
1,negative
0.5,positive
0,negative
1,negative
0.5,positive
1,negative
0,negative
0,positive
0,negative
0,positive
0,negative
0.25,negative
0,negative
0.5,negative
0,negative
1,negative
0,positive
0.25,positive
0,positive
0,positive
0.25,negative
0,positive
0,negative
0,negative
0,negative
0.25,negative
0,negative
0,negative
1,negative
0.25,negative
1,negative
0,negative
1,negative
0,negative
0,negative
0,negative
0,positive
0.25,negative
0,positive
0,negative
0,negative
0,positive
1,negative
0.5,negative
0,negative
0.75,negative
0,positive
0,positive
0,positive
0,negative
0,positive
0,negative
0.25,positive
1,negative
1,negative
0,positive
0.5,negative
0,negative
0.5,negative
0,negative
0.25,negative
1,negative
0,negative
0,negative
0.75,negative
0,negative
0,positive
0.75,negative
0,negative
0.25,negative
1,negative
0,negative
0,positive
0,negative
0,positive
0,negative
0,negative
0.5,negative
0.5,negative
0,negative
0.25,negative
0,positive
0,negative
0.5,negative
0.5,negative
0,negative
0.25,negative
1,negative
0,negative
0,negative
1,negative
0,positive
1,negative
1,positive
0,negative
0,negative
0,positive
0,negative
1,negative
0,positive
0,positive
0,negative
1,negative
0,negative
0.75,negative
0,positive
1,negative
0,negative
1,negative
0,negative
0,negative
1,positive
0,negative
0,positive
0,negative
1,negative
0,negative
1,positive
0.5,negative
0.25,negative
0,negative
0,negative
0,negative
0,negative
0.25,positive
0.25,negative
0,positive
0,negative
0,negative
1,positive
1,negative
0.75,negative
0,positive
1,negative
0.25,negative
0,negative
1,negative
0.25,negative
0,negative
0,negative
0,negative
1,negative
0,positive
0,positive
0,negative
1,negative
0.5,negative
0.25,negative
0,negative
0,negative
0,positive
0.5,negative
1,negative
1,positive
1,negative
0.5,positive
0.5,negative
0,positive
0,negative
0,negative
0,negative
1,positive
0,negative
0,negative
0,positive
0,negative
0,positive
1,negative
0,positive
0,negative
0,negative
0.25,negative
0.75,negative
1,negative
0.5,positive
1,negative
0,negative
0.75,negative
0,negative
0,negative
0,positive
0,negative
0.25,negative
0,negative
0.25,negative
0,negative
0.75,negative
0.25,negative
0,negative
0,negative
0.75,negative
0.25,negative
0,positive
0.25,negative
0,negative
0.25,negative
1,negative
0.25,negative
0,negative
0.5,negative
0,negative
0.5,negative
0.5,negative
0,positive
0.75,negative
0,negative
0,positive
0,positive
0,negative
0,positive
0,negative
0,positive
0,negative
1,positive
0.5,negative
0,negative
0,negative
0,positive
0,positive
1,positive
0.75,negative
0,positive
0,negative
0,positive
0,negative
0.25,positive
0,negative
0.75,positive
0.25,positive
0,positive
0,negative
0.25,positive
0,positive
0,negative
0.25,positive
1,negative
0.5,negative
0,positive
