Attr06,Attr09,Attr12,Class
0,0.67,0.67,positive
0.25,1,0.33,positive
0,0.67,0.33,positive
0,0.67,0.67,positive
0.25,0.33,0.67,negative
0,0.67,0.33,positive
0,0.67,0.33,negative
0,0.33,0.33,negative
0,0,0.33,negative
0.25,0.33,0,negative
0,0.67,1,negative
0,0.67,0.33,negative
1,0.67,0.33,negative
0.25,0.67,0.67,negative
1,1,0.67,negative
0,0.67,0.33,negative
1,0.67,0.67,negative
0,0.33,0,negative
0,0,0.33,negative
0,0.67,0.67,negative
0,0.67,1,positive
0.25,0.67,0.67,negative
0,0.33,0,positive
0,0.67,0,negative
0,0.67,0.33,negative
0,0.67,1,positive
1,0.67,1,negative
0.5,0.67,0.33,negative
0,0.67,0.67,negative
0.75,0,0,negative
0,1,0.67,positive
0,0.33,0.67,positive
0,0.33,0.33,positive
0,0.33,0.67,negative
0,0.67,0.67,positive
0,0.33,0.67,negative
0.25,0.33,0.67,positive
1,0.67,0.33,negative
1,0.67,0.67,negative
0,0.33,1,positive
0.5,0.67,0.67,negative
0,0.67,0.67,negative
0.5,0.67,0,negative
0,0.67,0,negative
0.25,0.67,0.33,negative
1,1,0.67,negative
0,0.67,0,negative
0,1,0.67,negative
0.75,0.33,0,negative
0,0.67,0,negative
0,0.67,1,positive
0.75,1,0,negative
0,0.67,0.67,negative
0.25,0.67,0.67,negative
1,0.67,1,negative
0,0.33,0.33,negative
0,0.67,0.33,positive
0,0.67,1,negative
0,0.67,0,positive
0,0.67,0.67,negative
0,0.67,0,negative
0.5,0.67,0.67,negative
0.5,0,0.67,negative
0,0.67,0,negative
0.25,1,0.67,negative
0,0.33,1,positive
0,0.33,0.67,negative
0.5,0.67,0.67,negative
0.5,0.33,0.33,negative
0,0.67,0.33,negative
0.25,0.33,0,negative
1,0.67,0.33,negative
0,0.67,0.67,negative
0,0.67,0.67,negative
1,0.67,0.33,negative
0,0.67,1,positive
1,0.67,0,negative
1,0.67,1,positive
0,0.33,0.67,negative
0,0.33,0.67,negative
0,0.33,1,positive
0,1,0,negative
1,0.67,0,negative
0,0.67,1,positive
0,0.67,0.67,positive
0,0.33,0.33,negative
1,0.67,0.33,negative
0,0.33,0.67,negative
0.75,1,0,negative
0,0.67,1,positive
1,0.33,0.67,negative
0,0.33,0.33,negative
1,0.67,0.33,negative
0,0.67,1,negative
0,0.33,0,negative
1,0.67,1,positive
0,0.67,1,negative
0,0.67,0.67,positive
0,0.67,0.33,negative
1,0.67,0.33,negative
0,1,0.33,negative
1,0.33,0.67,positive
0.5,0.67,0.33,negative
0.25,0.33,0.33,negative
0,0.33,0,negative
0,0.67,0,negative
0,0.33,0,negative
0,0.33,0.33,negative
0.25,0.67,1,positive
0.25,0.67,0.67,negative
0,0.67,0,positive
0,0.67,0,negative
0,0.67,0,negative
1,0.33,0.33,positive
1,0.67,1,negative
0.75,0.67,0,negative
0,0.67,1,positive
1,0.33,0.67,negative
0.25,0.67,0.67,negative
0,0.67,0,negative
1,0.67,0.33,negative
0.25,1,0,negative
0,0.67,0.67,negative
0,0.33,0,negative
0,0.67,0.67,negative
1,1,0.67,negative
0,0.67,0.67,positive
0,0.67,1,positive
0,0.67,0.67,negative
1,0.33,0.33,negative
0.5,1,0,negative
0.25,0,0.67,negative
0,0.33,0.33,negative
0,0.67,0,negative
0,0.33,0,positive
0.5,1,0,negative
1,0.67,0,negative
1,0.33,0.67,positive
1,0.33,0,negative
0.5,0.33,0.67,positive
0.5,0,0.67,negative
0,0.33,0,positive
0,0.33,0.67,negative
0,0.67,0,negative
0,0.67,1,negative
1,0.33,0,positive
0,0.67,0.33,negative
0,1,0,negative
0,0.67,0.67,positive
0,0.67,0.67,negative
0,0.33,0,positive
1,0.33,0.67,negative
0,0.67,0.33,positive
0,0.67,0.33,negative
0,0.67,1,negative
0.25,0.33,0,negative
0.75,0.67,0.67,negative
1,0.33,0,negative
0.5,0.67,0,positive
1,0.67,0,negative
0,0.33,0.67,negative
0.75,1,0,negative
0,0.33,1,negative
0,0.67,0.67,negative
0,0.67,0.67,positive
0,0.33,0.33,negative
0.25,0.67,0.67,negative
0,0.33,1,negative
0.25,0.33,0.67,negative
0,0.67,0.33,negative
0.75,0.67,0.67,negative
0.25,0.67,1,negative
0,0.67,0.33,negative
0,0.67,0.67,negative
0.75,0.33,1,negative
0.25,0.67,0.67,negative
0,0.33,0.67,positive
0.25,0.67,0,negative
0,1,0.67,negative
0.25,0.67,0.67,negative
1,0.67,0,negative
0.25,0.67,0,negative
0,0.33,0.33,negative
0.5,0.67,0.33,negative
0,0.67,1,negative
0.5,0.67,0.33,negative
0.5,0.67,0.67,negative
0,0.33,0.67,positive
0.75,0.33,0,negative
0,0.33,0.33,negative
0,0,0,positive
0,0.67,0.67,positive
0,0.33,0,negative
0,0.33,0.33,positive
0,0.67,0,negative
0,0.67,0.33,positive
0,0,0.67,negative
1,0.33,0,positive
0.5,0.67,0.67,negative
0,0.67,0.67,negative
0,0.67,0,negative
0,0,0.67,positive
0,0,0,positive
1,0.67,0.33,positive
0.75,0.67,0,negative
0,0.67,0.67,positive
0,0.67,0.33,negative
0,0.33,1,positive
0,0.67,0.67,negative
0.25,1,0.33,positive
0,0.33,0.67,negative
0.75,0.67,0.33,positive
0.25,0.67,1,positive
0,0.67,0.67,positive
0,1,0,negative
0.25,0.67,0.33,positive
0,0.33,0.67,positive
0,0.33,0.67,negative
0.25,0.33,0.67,positive
1,0.67,1,negative
0.5,0.67,0.67,negative
0,0,1,positive
